scope	category	file	alloc_vec_direct	alloc_vec_bound	s0_string_direct	s0_string_bound	arena_vec_direct	arena_vec_bound	small_vec_direct	small_vec_bound
infra	analysis	crates/vize_davinci/src/diagnostic.rs	1	2	1	5	0	0	0	0
infra	-	crates/vize_davinci/src/folio.rs	0	0	1	4	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/croquis.rs	1	16	1	17	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/croquis/parse.rs	1	3	1	4	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/croquis/parse/entry.rs	1	4	1	15	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/croquis/print.rs	1	2	1	0	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/dump.rs	1	2	1	7	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/feed.rs	1	2	1	10	0	0	0	0
infra	contract	crates/vize_davinci/src/folio/page.rs	1	2	1	2	0	0	0	0
infra	-	crates/vize_davinci/src/folio/repro.rs	0	0	1	15	0	0	0	0
infra	-	crates/vize_davinci/src/folio/value.rs	0	0	1	2	0	0	0	0
infra	analysis	crates/vize_davinci/src/pass/pipeline.rs	1	4	1	2	0	0	0	0
infra	analysis	crates/vize_davinci/src/side_table.rs	1	2	0	0	0	0	0	0
s1	-	crates/vize_s1/src/build.rs	0	0	0	0	1	7	0	0
s1	-	crates/vize_s1/src/build/tag.rs	0	0	0	0	1	4	0	0
s1	-	crates/vize_s1/src/event.rs	0	0	0	0	1	2	0	0
s1	-	crates/vize_s1/src/parse.rs	0	0	0	0	1	6	0	0
s1	-	crates/vize_s1/src/surface.rs	0	0	0	0	1	3	0	0
s2	analysis	crates/vize_s2/src/expr/filter.rs	2	0	0	0	1	2	0	0
s2	-	crates/vize_s2/src/expr/foreign.rs	0	0	0	0	1	1	0	0
s2	contract	crates/vize_s2/src/folio.rs	1	1	0	0	0	0	0	0
s2	contract	crates/vize_s2/src/folio/owned.rs	1	14	1	14	0	0	0	0
s2	contract	crates/vize_s2/src/folio/owned/binding.rs	1	7	1	13	0	0	0	0
s2	-	crates/vize_s2/src/folio/owned/expr.rs	0	0	1	10	0	0	0	0
s2	contract	crates/vize_s2/src/folio/parse.rs	1	4	0	0	0	0	0	0
s2	contract	crates/vize_s2/src/folio/parse/binding_line.rs	1	8	1	3	0	0	0	0
s2	-	crates/vize_s2/src/folio/parse/expr_token.rs	0	0	1	1	0	0	0	0
s2	contract	crates/vize_s2/src/folio/parse/line.rs	12	0	1	6	0	0	0	0
s2	-	crates/vize_s2/src/folio/print/binding.rs	0	0	1	1	0	0	0	0
s2	-	crates/vize_s2/src/op.rs	0	0	0	0	1	1	0	0
s2	-	crates/vize_s2/src/op/bind.rs	0	0	0	0	1	2	0	0
s2	-	crates/vize_s2/src/op/control.rs	0	0	0	0	1	1	0	0
s2	-	crates/vize_s2/src/op/element.rs	0	0	0	0	1	4	0	0
s2	-	crates/vize_s2/src/op/model.rs	0	0	0	0	1	1	0	0
s2	-	crates/vize_s2/src/op/slot.rs	0	0	0	0	1	3	0	0
s2	-	crates/vize_s2/src/op/vue.rs	0	0	0	0	1	2	0	0
s2	-	crates/vize_s2/src/provenance.rs	0	0	1	3	0	0	0	0
s2	analysis	crates/vize_s2/src/scope.rs	1	1	1	2	0	0	0	0
s2	analysis	crates/vize_s2/src/verify.rs	1	4	1	1	0	0	0	0
s2	-	crates/vize_s2/src/verify/observer.rs	0	0	1	1	0	0	0	0
s2	analysis	crates/vize_s2/src/verify/walk.rs	1	5	0	0	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit.rs	1	2	1	1	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/buf.rs	1	8	1	8	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/buf/helper_order.rs	1	2	0	0	0	0	0	0
s1_to_s2	-	crates/vize_s1_to_s2/src/emit/buf/preamble.rs	0	0	1	3	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/cache_slots.rs	1	2	1	1	0	0	0	0
s1_to_s2	-	crates/vize_s1_to_s2/src/emit/component/binding.rs	0	0	1	6	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/component/call_props.rs	1	1	0	0	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/component/preamble.rs	1	4	0	0	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/constant_expr.rs	1	5	1	2	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/create_slots.rs	1	5	0	0	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/create_slots/entry.rs	1	1	1	2	0	0	0	0
s1_to_s2	-	crates/vize_s1_to_s2/src/emit/cx.rs	0	0	1	11	0	0	0	0
s1_to_s2	emit	crates/vize_s1_to_s2/src/emit/directive.rs	1	7	2	0	0	0	0	0
s1_to_s2	-	crates/vize_s1_to_s2/src/emit/entity.rs	0	0	1	3	0	0	0	0
s1_to_s2	-	crates/vize_s1_to_s2/src/emit/entry.rs	0	0	1	3	0	0	0	0
s1_to_s2	-	crates/vize_s1_to_s2/src/emit/filter.rs	0	0	1	1	0	0	0	0
